text,label
Your PAN card is deactivated. Pay penalty of Rs 1000 to reactivate.,1
Your driving license is suspended. Pay fine online.,1
Your vehicle registration is expired. Renew immediately.,1
Your property tax is due. Pay now to avoid penalty.,1
Your water bill is pending. Pay or connection will be cut.,1
Your gas connection will be terminated. Submit KYC.,1
Your LPG subsidy is stopped. Update bank account with OTP.,1
Your PM Kisan installment is stuck. Verify land records with OTP.,1
Your scholarship application is incomplete. Pay processing fee.,1
Your exam form is rejected. Contact helpline with roll number.,1
Your admit card is on hold. Pay fee to download.,1
Your university result is blocked. Clear dues to view.,1
Your college fee is pending. Pay now to avoid late fee.,1
Your hostel allotment is cancelled. Pay security deposit.,1
Your library fine is Rs 500. Pay online.,0
Your WiFi bill is overdue. Pay or service will be disconnected.,1
Your mobile postpaid bill is pending. Pay immediately.,1
Your broadband plan is expired. Recharge now.,1
Your DTH service will be deactivated. Recharge today.,1
Your FASTag balance is low. Recharge to avoid penalty.,1
Your metro card is blocked. Recharge at station.,1
Your bus pass is expired. Renew online.,1
Your train ticket is waitlisted. Confirm by paying extra.,1
Your flight ticket is cancelled. Claim refund with OTP.,1
Your hotel booking is not confirmed. Pay advance to secure.,1
Your event registration is incomplete. Pay fee to confirm slot.,1
Your webinar link is invalid. Register again.,1
Your online course access is revoked. Renew subscription.,1
Your e-book download link is expired. Purchase again.,1
Your software license is invalid. Activate with key.,1
Your antivirus subscription is expired. Renew now.,1
Your cloud storage is full. Upgrade plan.,1
Your email account is over quota. Verify to increase space.,1
Your social media account is restricted. Verify identity.,1
Your online banking is disabled. Call customer care.,1
Your ATM transaction is failed. Contact bank with OTP.,1
Your cheque book request is on hold. Verify address.,1
Your loan EMI is bounced. Pay now to avoid penalty.,1
Your credit card payment is overdue. Pay minimum amount.,1
Your debit card is hotlisted. Apply for new card.,1
Your net banking password is locked. Reset using OTP.,1
Your UPI transaction is pending. Complete by entering PIN.,1
Your mobile wallet is frozen. Verify KYC.,1
Your mutual fund SIP is stopped. Update mandate.,1
Your insurance premium is due. Pay online.,1
Your policy is lapsed. Revive by paying penalty.,1
Your claim is rejected. Submit documents again.,1
Your PF withdrawal is stuck. Update KYC with Aadhaar.,1
Your pension is stopped. Submit life certificate.,1
Your income tax return is defective. Respond to notice.,1
Your GST registration is suspended. File returns.,1
Your company incorporation is cancelled. Pay annual fee.,1
Your trademark is expiring. Renew now.,1
Your patent application is abandoned. Pay fee to revive.,1
Your copyright registration is pending. Submit documents.,1
Your domain name is in redemption period. Pay restoration fee.,1
Your website is blacklisted. Remove malware.,1
Your server is compromised. Change passwords.,1
Your database is corrupted. Restore from backup.,1
Your app is removed from store. Appeal decision.,1
Your developer account is terminated. Contact support.,1
Your API key is revoked. Generate new one.,1
Your cloud instance is stopped. Start to resume.,1
Your virtual machine is deleted. Recover from snapshot.,1
Your storage account is locked. Verify ownership.,1
Your subscription is cancelled. Reactivate to continue.,1
Your trial period is over. Upgrade to paid plan.,1
Your account is in grace period. Pay to avoid suspension.,1
Your invoice is generated. Payment is due.,1
Your quote is ready. Approve to proceed.,1
Your order is on hold. Contact seller.,1
Your shipment is delayed. Track with order ID.,1
Your return is processed. Refund initiated.,1
Your warranty is expired. Extend now.,1
Your service request is closed. Reopen if issue persists.,1
Your complaint is resolved. Rate your experience.,0
Your feedback is recorded. Thank you.,1
Your appointment is confirmed. See you then.,1
Your reservation is guaranteed. Check-in instructions sent.,1
Your table is booked. Please arrive on time.,1
Your ticket is confirmed. Enjoy the show.,1
Your pass is activated. Scan at entrance.,1
Your membership is renewed. Card will be mailed.,1
Your subscription is active. Enjoy benefits.,1
Your account is in good standing. No action needed.,1
Your profile is complete. Thank you for updating.,1
Your settings are saved. Changes will take effect shortly.,1
Your password is changed successfully. Use new password to login.,1
Your email is verified. Welcome aboard.,0
Your phone number is confirmed. You can now use two-factor authentication.,1
Your backup codes are generated. Store them safely.,1
Your security key is registered. Use for passwordless login.,1
Your session is expired. Please login again.,1
Your device is not recognized. Verify with OTP.,1
Your location is detected. Allow access for better experience.,1
Your notifications are enabled. You will receive updates.,1
Your data is synced. Access across devices.,1
Your file is uploaded. Share with others.,1
Your download is complete. Open file.,1
Your report is generated. View or download.,1
Your analysis is ready. See insights.,1
Your dashboard is updated. New metrics available.,1
Your project is archived. Restore to continue.,1
Your task is assigned. Due date is tomorrow.,1
Your comment is posted. Awaiting moderation.,1
Your review is published. Thank you for sharing.,1
Your message is sent. Delivered to recipient.,1
Your call is connected. Speak now.,1
Your video call is starting. Join now.,1
Your screen share is active. Participants can see your screen.,1
Your meeting is recorded. Recording will be available later.,1
Your transcript is ready. Download from portal.,1
Your notes are saved. Access anytime.,1
Your calendar is updated. Event added.,1
Your reminder is set. You will be notified.,0
Your alarm is ringing. Wake up.,1
Your timer is done. Check it.,1
Your stopwatch is running. Lap recorded.,1
Your weather alert: Rain expected. Carry umbrella.,1
Your news briefing is ready. Top stories.,1
Your sports score: India won the match.,1
Your stock alert: Price reached target.,1
Your crypto alert: Bitcoin up 5%.,1
Your flight status: On time.,1
Your train status: Running late by 10 mins.,1
Your bus location: 5 mins away.,1
Your cab is arriving. Driver details sent.,1
Your food is on the way. Track order.,1
Your grocery delivery is scheduled. Be available.,1
Your medicine refill is ready. Pick up at pharmacy.,1
Your lab report is available. View results.,1
Your doctor appointment is tomorrow. Confirm or reschedule.,1
Your vaccination slot is booked. Carry ID proof.,1
Your test is scheduled. Prepare well.,1
Your interview is confirmed. Join link sent.,1
Your offer letter is generated. Sign digitally.,1
Your onboarding is complete. Welcome to the team.,1
Your payroll is processed. Salary credited.,1
Your expense report is approved. Reimbursement initiated.,1
Your leave request is approved. Enjoy your time off.,1
Your timesheet is submitted. Awaiting approval.,1
Your performance review is scheduled. Prepare self-assessment.,1
Your training is assigned. Complete by deadline.,1
Your certificate is issued. Download from portal.,1
Your badge is ready. Collect from security.,0
Your access card is activated. Use to enter premises.,0
Your parking pass is renewed. Display on dashboard.,1
Your visitor pass is generated. Share with guest.,1
Your desk booking is confirmed. Check-in upon arrival.,1
Your room booking is confirmed. Meeting details sent.,1
Your event registration is confirmed. See you there.,1
Your webinar registration is confirmed. Join link sent.,1
Your course enrollment is confirmed. Start learning.,1
Your certification exam is scheduled. Prepare well.,1
Your badge is issued. Share on LinkedIn.,1
Your community post is live. Engage with members.,1
Your forum question is posted. Awaiting replies.,1
Your answer is accepted. Thank you for contributing.,1
Your edit is approved. Changes are live.,1
Your translation is submitted. Awaiting review.,1
Your transcription is complete. Edit or download.,1
Your caption is generated. Add to video.,1
Your thumbnail is ready. Upload to channel.,1
Your video is processing. Will be available shortly.,1
Your stream is live. Viewers can join.,1
Your podcast is published. Listen now.,1
Your playlist is created. Add songs.,0
Your queue is updated. Next track playing.,1
Your radio station is playing. Enjoy music.,1
Your audiobook is resumed. Continue listening.,1
Your reading progress is saved. Pick up where you left.,1
Your bookmark is added. Access from library.,1
Your highlight is saved. View in notes.,1
Your annotation is added. See in margin.,1
Your dictionary lookup: Word meaning displayed.,1
Your translation: Text converted.,1
Your search results: Found 10 items.,1
Your filter is applied. Results narrowed.,1
Your sort order is changed. List updated.,1
Your view is customized. Save layout?,1
Your theme is changed. Appearance updated.,1
Your language is set. Content will be in selected language.,0
Your region is set. Local content will be shown.,0
Your currency is set. Prices shown in INR.,0
Your measurement units are set. Metric system applied.,1
Your accessibility settings are saved. Enhanced experience.,1
Your privacy settings are updated. Data controls adjusted.,1
Your ad preferences are saved. Personalized ads enabled.,1
Your cookie preferences are recorded. Necessary cookies only.,1
Your data download request is received. We'll email when ready.,1
Your account deletion request is pending. Confirm to proceed.,1
Your feedback is submitted. Thank you for helping us improve.,1
Your bug report is filed. We'll investigate.,1
Your feature request is noted. We'll consider for future updates.,1
Your support ticket is created. Agent will respond shortly.,0
Your chat is transferred. New agent joining.,1
Your call is recorded for quality purposes.,1
Your screen is being shared with support agent.,1
Your remote session is active. Agent can control your device.,1
Your issue is resolved. Ticket closed.,0
Your satisfaction survey is ready. Please rate your experience.,1
Your refund is processed. Amount credited to original payment method.,1
Your cancellation is confirmed. No charges applied.,1
Your modification is saved. Booking updated.,1
Your upgrade is successful. New plan activated.,1
Your downgrade is scheduled. Changes effective next billing cycle.,1
Your renewal is processed. Service continues uninterrupted.,1
Your payment method is updated. Future charges will use this.,1
Your billing address is changed. Invoice will reflect new address.,1
Your tax information is updated. Applicable taxes will be calculated.,1
Your invoice is available. Download PDF.,1
Your receipt is attached. Thank you for your payment.,1
Your statement is ready. View transactions.,1
Your balance is low. Add funds to continue.,1
Your credit is applied. New balance updated.,1
Your promo code is applied. Discount reflected.,1
Your coupon is expired. Try another code.,1
Your gift card is redeemed. Balance added to account.,1
Your loyalty points are credited. Redeem for rewards.,1
Your cashback is earned. Will be credited soon.,1
Your referral bonus is pending. Friend must complete signup.,1
Your affiliate commission is approved. Payout scheduled.,1
Your earnings are available. Withdraw to bank account.,1
Your payout is processed. Funds transferred.,1
Your wallet is linked. You can now make payments.,1
Your bank account is verified. ACH transfers enabled.,1
Your UPI ID is verified. Scan to pay.,1
Your card is added. Use for faster checkout.,1
Your default payment method is set. Will be used for future transactions.,1
Your shipping address is saved. Select at checkout.,1
Your delivery instructions are noted. Driver will follow.,1
Your contact preferences are updated. We'll communicate via email.,1
Your notification settings are saved. You'll receive alerts as configured.,1
Your unsubscribe request is processed. You won't receive further emails.,1
Your subscription is paused. Resume when ready.,1
Your account is reactivated. Welcome back.,1
Your data is restored. Previous state recovered.,0
Your backup is complete. Data safely stored.,1
Your sync is complete. All devices up to date.,1
Your update is installed. Restart to apply changes.,1
Your software is up to date. No updates available.,1
Your device is optimized. Running smoothly.,1
Your scan is complete. No threats found.,1
Your cleanup is complete. Disk space freed.,1
Your defragmentation is complete. Drive optimized.,1
Your diagnostics show no issues. System healthy.,1
Your battery health is good. No service needed.,1
Your storage is almost full. Free up space.,1
Your memory usage is high. Close unused apps.,1
Your CPU temperature is normal. Cooling effective.,1
Your network connection is stable. Speed test: 100 Mbps.,1
Your VPN is connected. Traffic encrypted.,1
Your firewall is active. Protection enabled.,1
Your antivirus is running. Real-time protection on.,1
Your malware scan is scheduled. Will run tonight.,1
Your password manager is unlocked. Autofill ready.,1
Your two-factor code is 123456. Use to login.,1
Your authenticator app is synced. Codes generated.,1
Your backup codes are displayed. Copy and save.,1
Your recovery email is set. Use to reset password.,0
Your security questions are updated. Keep answers memorable.,1
Your login alert: New sign-in from Chrome on Windows.,1
Your device added: iPhone 15. Was this you?,1
"Your password changed alert: If not you, secure account.",1
Your account recovered. Welcome back.,1
Your profile picture is updated. Changes saved.,1
Your cover photo is changed. Looks great.,1
Your status is updated. Friends can see.,1
Your story is posted. Will expire in 24h.,1
Your post is shared. Visible to friends.,1
Your comment is liked. Someone reacted.,1
Your photo is tagged. Review and approve.,1
Your mention: You were mentioned in a comment.,1
Your invite: You're invited to an event.,1
Your friend request is accepted. You are now connected.,1
Your message request: Someone wants to chat.,1
Your group invitation: Join the conversation.,1
Your community invitation: Become a member.,1
Your page is liked. New follower.,1
Your channel is subscribed. Welcome new subscriber.,1
Your video is liked. Someone enjoyed it.,1
Your stream is clipped. Highlight created.,1
Your donation is received. Thank you for support.,1
Your membership is started. Welcome to the club.,1
Your perks are unlocked. Enjoy exclusive benefits.,1
Your early access is granted. Try new features first.,1
Your beta invite is accepted. Testing now.,1
Your feedback is valuable. We'll improve.,1
Your suggestion is implemented. Thanks for the idea.,1
Your contribution is merged. Code deployed.,1
Your pull request is reviewed. Approved.,1
Your issue is closed. Fixed in latest release.,1
Your release is published. Download now.,1
Your package is updated. Version bumped.,1
Your dependency is resolved. Build successful.,0
Your test passed. All checks green.,1
Your deployment is complete. Site live.,1
Your rollback is initiated. Previous version restored.,1
Your monitor is alerting. Investigate issue.,1
Your log shows error. Check details.,1
Your metric exceeded threshold. Scaling triggered.,1
Your instance is terminated. New one launched.,1
Your load balancer is healthy. Traffic distributed.,1
Your database is backed up. Snapshot created.,0
Your query is executed. Results returned.,1
Your index is built. Search optimized.,1
Your cache is warmed. Performance improved.,1
Your CDN is purged. Fresh content served.,1
Your DNS is propagated. Changes live.,1
Your SSL certificate is renewed. Site secure.,1
Your domain is verified. Ownership confirmed.,0
Your email is authenticated. SPF/DKIM valid.,1
Your DMARC policy is enforced. Spoofing prevented.,1
Your website is scanned. No malware found.,1
Your uptime is 99.99%. Service reliable.,1
Your response time is 200ms. Fast.,1
Your error rate is 0.1%. Within SLO.,1
Your throughput is 1000 req/s. Scaling.,1
Your concurrent users are 500. System stable.,1
Your session count is normal. No anomalies.,1
Your conversion rate is 5%. Goal achieved.,1
Your bounce rate is 40%. Improve content.,1
Your page views are up 10%. Traffic increase.,1
Your unique visitors are growing. Audience expanding.,1
Your retention is 60%. Users coming back.,0
Your churn is 5%. Within target.,1
Your NPS is 70. Promoters happy.,1
Your CSAT is 4.5. Satisfied customers.,1
Your CES is 3.2. Effort acceptable.,1
Your review average is 4.8 stars. Great reputation.,1
Your sentiment is positive. Customers love you.,1
Your social mentions are up. Buzz increasing.,1
Your share of voice is 30%. Leading competitor.,1
Your brand awareness is growing. More searches.,1
Your campaign is performing. CTR 2%.,1
Your ad is approved. Running now.,1
Your budget is pacing. Spend on track.,1
Your bid is competitive. Winning auctions.,1
Your keyword is ranking #1. Top spot.,1
Your page is indexed. Visible in search.,1
Your snippet is featured. Position zero.,1
Your rich result is enabled. Enhanced display.,1
Your schema is valid. Structured data correct.,1
Your sitemap is submitted. Crawled successfully.,1
Your robots.txt is updated. Allow all.,1
Your canonical is set. Duplicate resolved.,0
Your redirect is working. 301 permanent.,1
Your 404 page is customized. User friendly.,1
Your site speed is 2s. Good.,1
Your mobile usability is excellent. Responsive.,1
Your accessibility score is 95. Inclusive.,1
Your SEO score is 90. Optimized.,1
Your performance grade is A. Fast.,1
Your security grade is A+. Protected.,1
Your privacy grade is A. No trackers.,1
Your carbon footprint is low. Green hosting.,1
Your sustainability report is generated. ESG goals met.,1
Your compliance report is ready. Audit passed.,1
Your certification is renewed. ISO 27001 valid.,1
Your policy is acknowledged. Accept to continue.,1
Your consent is recorded. Preference saved.,1
"Your rights are explained. Access, rectify, erase.",1
Your data subject request is processed. Information provided.,1
Your opt-out is confirmed. You will not receive marketing.,1
Your data is anonymized. Used for analytics.,1
Your personal information is encrypted. Secure.,1
Your session is private. Incognito mode.,1
Your browsing history is cleared. No traces.,1
Your cookies are deleted. Fresh start.,1
Your cache is cleared. Latest version loaded.,1
Your offline data is synced. Changes uploaded.,1
Your draft is saved. Continue later.,1
Your autosave is triggered. Work preserved.,1
Your version history is available. Restore previous.,1
Your collaboration is active. Others are editing.,1
Your comment is resolved. Thread closed.,1
Your suggestion is accepted. Implementing.,1
Your approval is required. Please review.,1
Your signature is requested. Sign document.,1
Your document is signed. Completed.,1
Your envelope is sent. Awaiting signatures.,1
Your template is used. Document created.,1
Your form is submitted. Response recorded.,1
Your survey is completed. Thank you.,1
Your poll is voted. Results shown.,1
Your quiz is finished. Score: 8/10.,1
Your answer is correct. Well done.,1
Your answer is incorrect. Try again.,1
Your hint is used. Here's a clue.,1
Your solution is checked. Good job.,1
Your progress is saved. Resume lesson.,1
Your course is completed. Certificate earned.,1
Your badge is unlocked. Share achievement.,0
Your level is up. New rank: Expert.,1
Your points are added. Redeem rewards.,1
Your streak is maintained. 7 days.,1
Your goal is achieved. Celebrate.,1
Your habit is tracked. Keep going.,1
Your workout is logged. Calories burned: 300.,1
Your step count is 8000. Almost there.,1
Your heart rate is 72 bpm. Normal.,1
Your sleep score is 85. Good rest.,1
Your weight is logged. Trend: stable.,1
Your water intake is recorded. Stay hydrated.,1
Your meal is logged. Nutrition info.,1
Your medication is taken. Dose recorded.,1
Your symptom is logged. Feel better.,1
Your period is tracked. Cycle day 14.,1
Your fertility window is open. High chance.,1
Your ovulation is predicted. Tomorrow.,1
Your pregnancy test is due. 5 days late.,1
Your baby kick count is normal. 10 movements.,1
Your contraction timer is started. Track frequency.,1
Your feeding is logged. 5 oz.,1
Your diaper change is recorded. Wet.,1
Your sleep session is started. Good night.,1
Your wake up is detected. Light sleep.,1
Your alarm is snoozed. 9 more minutes.,1
Your morning routine is complete. Ready for day.,1
Your commute time is 25 mins. Leave now.,1
Your calendar is clear. No meetings.,1
Your focus mode is on. Notifications silenced.,1
Your break time is now. Stretch.,1
Your screen time is 2 hours. Take a break.,1
Your app limit is reached. Time's up.,1
Your downtime is scheduled. 10 PM.,1
Your wind down starts. Relax.,1
Your bedtime is 11 PM. Sleep well.,1
Your wake up alarm is set. 7 AM.,1
Your sunrise alarm is starting. Gradually brightening.,1
Your smart lights are dimming. Good night.,1
Your thermostat is set to 68°F. Energy saving.,1
Your door is locked. Secure.,1
Your camera is armed. Motion detection on.,1
Your smoke alarm is tested. Working.,1
Your leak sensor is dry. No issues.,1
Your air quality is good. Ventilate.,1
Your vacuum is done. Returning to dock.,1
Your mop is finished. Floor clean.,1
Your laundry is done. Move to dryer.,1
Your dryer is finished. Clothes dry.,1
Your dishwasher is running. Cycle: normal.,1
Your oven is preheated. Ready to cook.,1
Your microwave is done. Food hot.,1
Your coffee is brewing. 2 mins.,1
Your water is boiling. Kettle done.,1
Your fridge door is open. Close it.,1
Your freezer temperature is rising. Check seal.,1
Your grocery list is synced. Shop now.,1
Your recipe is saved. Cook later.,1
Your timer is up. Check food.,1
Your delivery is arriving. Meet at door.,1
Your visitor is at gate. Let them in.,1
Your package is in locker. Use code.,1
Your mail is scanned. Important letter.,1
Your reminder: Call mom.,1
Your task: Submit report.,1
Your event: Team meeting at 3 PM.,1
Your anniversary is tomorrow. Don't forget.,1
Your birthday is next week. Plan party.,1
Your holiday is coming up. Booked.,1
Your vacation starts soon. Pack bags.,1
Your trip is confirmed. Itinerary ready.,1
Your boarding pass is here. Gate B12.,1
Your seat is 14A. Window.,1
Your baggage is checked. 23kg.,1
Your flight is boarding. Proceed to gate.,1
Your flight is delayed. New time: 6 PM.,1
Your flight is cancelled. Rebook options.,1
Your hotel check-in is 3 PM. Early arrival?,1
Your room is ready. 5th floor.,1
Your key card is activated. Use elevator.,1
Your WiFi password is GUEST123. Connect.,1
Your breakfast is included. 7-10 AM.,1
Your spa appointment is confirmed. 2 PM.,1
Your dinner reservation is at 8 PM. Enjoy.,1
Your taxi is booked. Arriving in 5.,1
Your rental car is ready. Pick up keys.,1
Your tour is starting. Meet guide.,1
Your tickets are scanned. Enter venue.,1
Your seats are located. Section A.,1
Your intermission is now. 15 mins.,1
Your show is starting. Turn off phones.,1
Your recording is prohibited. Enjoy live.,1
Your photos are allowed. No flash.,1
Your autograph session is after show. Line up.,1
Your meet and greet is confirmed. VIP access.,1
Your backstage pass is granted. Follow escort.,1
Your merch order is ready. Pick up at booth.,1
Your refund is issued. Sorry for inconvenience.,1
Your exchange is processed. New item shipped.,1
Your warranty claim is approved. Replacement sent.,1
Your repair is complete. Device ready.,1
Your estimate is ready. Approve to start.,1
Your appointment is rescheduled. New date confirmed.,1
Your prescription is ready. Pick up at pharmacy.,1
Your lab results are normal. No concerns.,1
Your follow-up is scheduled. See you in 6 months.,1
Your referral is sent. Specialist will call.,1
Your insurance is verified. Coverage active.,1
Your copay is $20. Pay at check-in.,1
Your deductible is met. 100% coverage now.,1
Your HSA card is declined. Use another method.,1
Your FSA funds are expiring. Use by year end.,1
Your tax document is available. Download 1099.,1
Your W-2 is ready. Access portal.,1
Your refund is deposited. Check account.,1
Your tax payment is due. Pay by April 15.,1
Your extension is filed. New deadline Oct 15.,1
Your audit is complete. No changes.,1
Your notice is resolved. Case closed.,1
Your dispute is filed. Investigation started.,1
Your credit report is updated. Score changed.,1
Your credit score is 750. Good.,1
"Your credit limit is increased. New limit $10,000.",1
Your APR is reduced. 15.99%.,1
Your balance transfer is complete. 0% intro APR.,1
Your payment is posted. Thank you.,1
Your autopay is scheduled. Will process on due date.,1
Your paperless statement is on. Go green.,1
Your alert: Large purchase detected. Confirm?,1
Your card is locked. Unlock in app.,1
Your travel notice is set. Card will work abroad.,1
Your foreign transaction fee is 3%. Use local currency.,1
Your ATM withdrawal limit is $500. Increase?,1
Your daily limit is reached. Try tomorrow.,1
Your PIN is changed. Remember new one.,1
Your card is mailed. Arrives in 5-7 days.,1
Your card is activated. Ready to use.,1
Your mobile wallet is provisioned. Tap to pay.,1
Your contactless payment is successful. Thank you.,1
Your chip is read. Remove card.,1
Your swipe is declined. Insert chip.,1
Your signature is required. Sign pad.,1
Your receipt is emailed. Check inbox.,1
Your loyalty card is scanned. Points earned.,1
Your coupon is applied. $5 off.,1
Your discount is 20%. Total: $80.,1
Your tax is calculated. $8.50.,1
Your tip is added. 18%.,1
Your total is $108.50. Pay now.,1
Your split is accepted. You owe $54.25.,1
Your payment is processing. Don't close.,1
Your payment is approved. Thank you.,1
Your payment is declined. Try another card.,1
Your payment is pending. Check back later.,1
Your payment is refunded. Back to card.,1
Your transaction is disputed. Temporary credit issued.,1
Your transaction is flagged. Fraud alert.,1
Your account is frozen. Contact bank.,1
Your account is closed. Final statement sent.,1
Your account is transferred. Welcome to new bank.,1
Your beneficiary is added. POD designation.,1
Your wire is sent. Funds transferred.,1
Your ACH is initiated. 2-3 days.,1
Your check is deposited. Funds available tomorrow.,1
Your check is returned. NSF.,1
Your stop payment is placed. Check will not clear.,1
Your statement is reconciled. No discrepancies.,1
Your budget is on track. Spending within limits.,1
Your goal is funded. $1000 saved.,1
Your investment is up. Portfolio +2%.,1
Your dividend is paid. Reinvested.,1
Your trade is executed. Order filled.,1
Your limit order is placed. Wait for price.,1
Your stop loss is triggered. Position closed.,1
Your margin call is issued. Deposit funds.,1
"Your account value is $50,000. YTD +10%.",1
Your retirement projection is on track. Age 65.,1
Your required minimum distribution is due. Take RMD.,1
Your beneficiary is confirmed. Up to date.,1
Your trust is funded. Assets transferred.,1
Your will is executed. Probate started.,1
Your power of attorney is activated. Agent authorized.,1
Your healthcare directive is on file. Wishes known.,1
Your organ donor status is registered. Save lives.,1
Your voter registration is confirmed. Polling place assigned.,1
Your absentee ballot is requested. Mail by election day.,1
Your ballot is received. Counted.,1
Your jury duty is postponed. New date.,1
Your court date is scheduled. Appear in person.,1
Your ticket is paid. Case closed.,1
Your fine is overdue. Pay now to avoid warrant.,1
Your license is suspended. Reinstatement fee due.,1
Your registration is expired. Renew online.,1
Your inspection is due. Schedule appointment.,1
Your emissions test is passed. Certificate issued.,1
Your title is transferred. New owner.,1
Your lien is released. Clear title.,1
Your insurance card is digital. Show on phone.,1
Your proof of insurance is uploaded. Validated.,1
Your claim is adjusted. Estimate approved.,1
Your repair is authorized. Proceed with shop.,1
Your rental car is covered. Up to $30/day.,1
Your roadside assistance is dispatched. ETA 30 mins.,1
Your tow is on the way. Stay safe.,1
Your battery is jumped. Running again.,1
Your tire is changed. Spare installed.,1
Your lockout is resolved. Door opened.,1
Your fuel is delivered. 2 gallons.,1
Your accident report is filed. Claim number: 12345.,1
Your statement is taken. Other driver at fault.,1
Your witness is contacted. Will provide statement.,1
Your medical payment is covered. Up to $5000.,1
Your PIP is exhausted. Health insurance primary.,1
